Date,Close
1/2/2014,76.27
1/3/2014,76.11
1/6/2014,75.82
1/7/2014,76.34
1/8/2014,75.22
1/9/2014,74.9
1/10/2014,75.39
1/13/2014,73.27
1/14/2014,74.45
1/15/2014,74.28
1/16/2014,74.21
1/17/2014,73.98
1/21/2014,74.2
1/22/2014,75.31
1/23/2014,74.79
1/24/2014,72.72
1/27/2014,72.25
1/28/2014,72.88
1/29/2014,71.33
1/30/2014,73.22
1/31/2014,72.61
2/3/2014,69.99
2/4/2014,71.05
2/5/2014,71.76
2/6/2014,75.56
2/7/2014,75.67
2/10/2014,77.06
2/11/2014,77.79
2/12/2014,77.91
2/13/2014,77.9
2/14/2014,79.23
2/18/2014,79.58
2/19/2014,78.87
2/20/2014,79.19
2/21/2014,80.13
2/24/2014,80.73
2/25/2014,80.21
2/26/2014,80.08
2/27/2014,80.48
2/28/2014,80.81
3/3/2014,79.46
3/4/2014,81.71
3/5/2014,82.68
3/6/2014,83.34
3/7/2014,82.21
3/10/2014,81.97
3/11/2014,81.05
3/12/2014,81.38
3/13/2014,79.93
3/14/2014,80.07
3/17/2014,81.39
3/18/2014,81.99
3/19/2014,80.52
3/20/2014,80.81
3/21/2014,80.35
3/24/2014,79.49
3/25/2014,79.55
3/26/2014,78.62
3/27/2014,78.48
3/28/2014,78.99
3/31/2014,80.07
4/1/2014,81.57
4/2/2014,81.67
4/3/2014,81.69
4/4/2014,80.43
4/7/2014,79.13
4/8/2014,79.57
4/9/2014,80.47
4/10/2014,77.51
4/11/2014,77.01
4/14/2014,77.62
4/15/2014,77.66
4/16/2014,78.95
4/17/2014,79.99
4/21/2014,79.11
4/22/2014,79.45
4/23/2014,79.52
4/24/2014,79.59
4/25/2014,78.23
4/28/2014,77.78
4/29/2014,78.64
4/30/2014,79.34
5/1/2014,79.56
5/2/2014,80.31
5/5/2014,81.22
5/6/2014,81.03
5/7/2014,80.29
5/8/2014,81.6
5/9/2014,81.95
5/12/2014,82.42
5/13/2014,82.08
5/14/2014,80.92
5/15/2014,80.15
5/16/2014,80.39
5/19/2014,81.05
5/20/2014,81.09
5/21/2014,82.19
5/22/2014,82.35
5/23/2014,83.32
5/27/2014,83.74
5/28/2014,83.6
5/29/2014,84.03
5/30/2014,84.01
6/2/2014,84.27
6/3/2014,83.88
6/4/2014,84.24
6/5/2014,84.78
6/6/2014,84.61
6/9/2014,85.48
6/10/2014,84.75
6/11/2014,84.31
6/12/2014,82.8
6/13/2014,82.8
6/16/2014,83.3
6/17/2014,83.16
6/18/2014,83.58
6/19/2014,83.77
6/20/2014,82.82
6/23/2014,82.76
6/24/2014,82.68
6/25/2014,83.9
6/26/2014,84.45
6/27/2014,85.3
6/30/2014,85.74
7/1/2014,86.47
7/2/2014,86.44
7/3/2014,86.84
7/7/2014,86.59
7/8/2014,85.86
7/9/2014,87.22
7/10/2014,86.86
7/11/2014,86.89
7/14/2014,86.76
7/15/2014,86.15
7/16/2014,85.35
7/17/2014,85.03
7/18/2014,85.81
7/21/2014,85.74
7/22/2014,86.21
7/23/2014,86.04
7/24/2014,86.8
7/25/2014,86.23
7/28/2014,87.15
7/29/2014,86.2
7/30/2014,87.21
7/31/2014,85.88
8/1/2014,85.38
8/4/2014,87.24
8/5/2014,86.75
8/6/2014,86.59
8/7/2014,85.51
8/8/2014,86.85
8/11/2014,87.5
8/12/2014,87.21
8/13/2014,87.6
8/14/2014,88.61
8/15/2014,89.28
8/18/2014,89.97
8/19/2014,90.09
8/20/2014,89.84
8/21/2014,90.38
8/22/2014,90.49
8/25/2014,90.38
8/26/2014,90.02
8/27/2014,90.37
8/28/2014,90.23
8/29/2014,89.88
9/2/2014,90.8
9/3/2014,90.94
9/4/2014,90.14
9/5/2014,90.94
9/8/2014,90.56
9/9/2014,89.6
9/10/2014,89.52
9/11/2014,89.97
9/12/2014,89.67
9/15/2014,90.08
9/16/2014,90.27
9/17/2014,90.33
9/18/2014,90.34
9/19/2014,90.49
9/22/2014,89.29
9/23/2014,88.31
9/24/2014,89.45
9/25/2014,88.07
9/26/2014,88.74
9/29/2014,88.83
9/30/2014,89.03
10/1/2014,87.49
10/2/2014,86.79
10/3/2014,88.45
10/6/2014,88.56
10/7/2014,87.11
10/8/2014,88.11
10/9/2014,85.71
10/10/2014,86.27
10/13/2014,83.91
10/14/2014,84.14
10/15/2014,82.08
10/16/2014,81.74
10/17/2014,83.83
10/20/2014,85.52
10/21/2014,87.54
10/22/2014,87.1
10/23/2014,87.99
10/24/2014,88.61
10/27/2014,88.45
10/28/2014,89.93
10/29/2014,89.53
10/30/2014,90.22
10/31/2014,91.38
11/3/2014,91.71
11/4/2014,90.35
11/5/2014,91
11/6/2014,92
11/7/2014,90
11/10/2014,89.78
11/11/2014,89.98
11/12/2014,89.9
11/13/2014,90.49
11/14/2014,90.8
11/17/2014,90.41
11/18/2014,90.28
11/19/2014,89.82
11/20/2014,88.9
11/21/2014,88.96
11/24/2014,90.58
11/25/2014,91.65
11/26/2014,91.92
11/28/2014,92.51
12/1/2014,92.7
12/2/2014,93.47
12/3/2014,93.11
12/4/2014,93.23
12/5/2014,93.76
12/8/2014,93.8
12/9/2014,92.94
12/10/2014,91.63
12/11/2014,91.75
12/12/2014,91.49
12/15/2014,90.9
12/16/2014,90.17
12/17/2014,91.38
12/18/2014,92.61
12/19/2014,92.89
12/22/2014,94.2
12/23/2014,94.69
12/24/2014,94.42
12/26/2014,95.03
12/29/2014,95.5
12/30/2014,94.7
12/31/2014,94.19
1/2/2015,93.75
1/5/2015,92.38
1/6/2015,91.89
1/7/2015,92.83
1/8/2015,93.79
1/9/2015,94.25
1/12/2015,94.46
1/13/2015,95.19
1/14/2015,94.23
1/15/2015,94.35
1/16/2015,95.18
1/20/2015,94.74
1/21/2015,94.17
1/22/2015,95.15
1/23/2015,94.72
1/26/2015,94.97
1/27/2015,93.97
1/28/2015,92.67
1/29/2015,93.22
1/30/2015,90.96
2/2/2015,91.93
2/3/2015,94.1
2/4/2015,101.28
2/5/2015,102.64
2/6/2015,102.02
2/9/2015,101.73
2/10/2015,101.92
2/11/2015,101.87
2/12/2015,103.58
2/13/2015,104.17
2/17/2015,104.12
2/18/2015,103.86
2/19/2015,103.89
2/20/2015,104.55
2/23/2015,104.99
2/24/2015,104.67
2/25/2015,105.57
2/26/2015,104.56
2/27/2015,104.08
3/2/2015,105.89
3/3/2015,106.35
3/4/2015,105.57
3/5/2015,105.03
3/6/2015,103.82
3/9/2015,105.26
3/10/2015,103.09
3/11/2015,102.89
3/12/2015,107.17
3/13/2015,106.44
3/16/2015,107.37
3/17/2015,106.96
3/18/2015,107.97
3/19/2015,107.37
3/20/2015,108.43
3/23/2015,108.22
3/24/2015,107.11
3/25/2015,105
3/26/2015,105.24
3/27/2015,105.48
3/30/2015,106.12
3/31/2015,104.89
4/1/2015,105.44
4/2/2015,106
4/6/2015,105.63
4/7/2015,105.43
4/8/2015,106.36
4/9/2015,106.77
4/10/2015,106.95
4/13/2015,106.51
4/14/2015,106.66
4/15/2015,106.98
4/16/2015,108.1
4/17/2015,106.69
4/20/2015,108.22
4/21/2015,107.68
4/22/2015,107.94
4/23/2015,109
4/24/2015,109.53
4/27/2015,110.16
4/28/2015,109.92
4/29/2015,109.81
4/30/2015,108.72
5/1/2015,110.52
5/4/2015,111.03
5/5/2015,110.81
5/6/2015,109.72
5/7/2015,109.26
5/8/2015,110.11
5/11/2015,108.6
5/12/2015,109.24
5/13/2015,109.19
5/14/2015,109.93
5/15/2015,110.3
5/18/2015,110.33
5/19/2015,110.56
5/20/2015,110.2
5/21/2015,110.39
5/22/2015,110.26
5/26/2015,109.44
5/27/2015,110.37
5/28/2015,110.53
5/29/2015,110.37
6/1/2015,110.96
6/2/2015,110.75
6/3/2015,111.17
6/4/2015,110.3
6/5/2015,110.3
6/8/2015,109.29
6/9/2015,108.52
6/10/2015,110
6/11/2015,110.62
6/12/2015,109.95
6/15/2015,110.18
6/16/2015,111.06
6/17/2015,111.49
6/18/2015,113.22
6/19/2015,112.62
6/22/2015,113.53
6/23/2015,114.41
6/24/2015,113.77
6/25/2015,114.45
6/26/2015,114.99
6/29/2015,113.05
6/30/2015,114.14
7/1/2015,115.13
7/2/2015,114.97
7/6/2015,115.7
7/7/2015,117.1
7/8/2015,115.19
7/9/2015,115.6
7/10/2015,116.44
7/13/2015,118.05
7/14/2015,117.85
7/15/2015,118.3
7/16/2015,119.07
7/17/2015,118.86
7/20/2015,119.58
7/21/2015,119.31
7/22/2015,119.33
7/23/2015,118.8
7/24/2015,118.91
7/27/2015,118.25
7/28/2015,118.46
7/29/2015,119.84
7/30/2015,120.03
7/31/2015,120
8/3/2015,121.12
8/4/2015,121.69
8/5/2015,110.53
8/6/2015,108.55
8/7/2015,109.35
8/10/2015,111
8/11/2015,108
8/12/2015,106.99
8/13/2015,107.52
8/14/2015,107.16
8/17/2015,109.05
8/18/2015,106.94
8/19/2015,106.45
8/20/2015,100.02
8/21/2015,98.84
8/24/2015,95.36
8/25/2015,95.89
8/26/2015,99.23
8/27/2015,102.17
8/28/2015,102.48
8/31/2015,101.88
9/1/2015,99.51
9/2/2015,101.89
9/3/2015,101.99
9/4/2015,100.97
9/8/2015,104.01
9/9/2015,101.91
9/10/2015,102.6
9/11/2015,104.48
9/14/2015,103.82
9/15/2015,103.43
9/16/2015,103.96
9/17/2015,104.2
9/18/2015,102.84
9/21/2015,103.41
9/22/2015,102.49
9/23/2015,101.57
9/24/2015,100.62
9/25/2015,100.3
9/28/2015,98.49
9/29/2015,99.42
9/30/2015,102.2
10/1/2015,102.67
10/2/2015,103
10/5/2015,103.85
10/6/2015,103.77
10/7/2015,103.39
10/8/2015,104.61
10/9/2015,105.56
10/12/2015,106.35
10/13/2015,106.59
10/14/2015,105.73
10/15/2015,107.89
10/16/2015,108.24
10/19/2015,109.47
10/20/2015,109.84
10/21/2015,110.09
10/22/2015,113.25
10/23/2015,113.09
10/26/2015,113.52
10/27/2015,113.77
10/28/2015,114.34
10/29/2015,115.04
10/30/2015,113.74
11/2/2015,115.04
11/3/2015,115.54
11/4/2015,113.25
11/5/2015,113
11/6/2015,115.67
11/9/2015,116.42
11/10/2015,117.42
11/11/2015,116.52
11/12/2015,116.21
11/13/2015,114.84
11/16/2015,115.92
11/17/2015,116.13
11/18/2015,118.14
11/19/2015,118.71
11/20/2015,120.07
11/23/2015,119.42
11/24/2015,117.95
11/25/2015,118.67
11/27/2015,115.13
11/30/2015,113.47
12/1/2015,115.39
12/2/2015,114
12/3/2015,111.89
12/4/2015,114.24
12/7/2015,113.83
12/8/2015,112.48
12/9/2015,111.47
12/10/2015,110.76
12/11/2015,108.04
12/14/2015,109.35
12/15/2015,112.16
12/16/2015,113.79
12/17/2015,112.01
12/18/2015,107.72
12/21/2015,106.59
12/22/2015,106.74
12/23/2015,105.56
12/24/2015,105.86
12/28/2015,107.25
12/29/2015,107.08
12/30/2015,106.34
12/31/2015,105.08
1/4/2016,102.98
1/5/2016,100.9
1/6/2016,100.36
1/7/2016,99.5
1/8/2016,99.25
1/11/2016,99.92
1/12/2016,101.46
1/13/2016,98.48
1/14/2016,99.11
1/15/2016,93.9
1/19/2016,93.97
1/20/2016,92.54
1/21/2016,94.02
1/22/2016,96.9
1/25/2016,95.29
1/26/2016,96.27
1/27/2016,94.32
1/28/2016,93.53
1/29/2016,95.82
2/1/2016,95.15
2/2/2016,93.12
2/3/2016,95.14
2/4/2016,95.43
2/5/2016,93.9
2/8/2016,92.12
2/9/2016,92.32
2/10/2016,88.85
2/11/2016,90.31
2/12/2016,91.15
2/16/2016,92.91
2/17/2016,95.5
2/18/2016,95.17
2/19/2016,95.01
2/22/2016,96.37
2/23/2016,95.38
2/24/2016,95.43
2/25/2016,95.65
2/26/2016,95.31
2/29/2016,95.52
3/1/2016,97.65
3/2/2016,97
3/3/2016,98.82
3/4/2016,98.48
3/7/2016,99.39
3/8/2016,97.82
3/9/2016,97.66
3/10/2016,97.04
3/11/2016,97.94
3/14/2016,98.81
3/15/2016,98.24
